,Gu,Dong,Name,Date,Price,Area,Floor,건축년도,Address,Year,Month,Interest Rate,Jeonse Index,Total Population,Children,Adolescent,Youth,Middle-Aged,Old Age,Consumption
27,동작구,상도동,상도동래미안1차,20240226,98300,84.96,13.0,2004.0,동작구 상도동 0450-0000,2024,202402,3.5,58.7,113485,0.07190377582940477,0.1181742080451161,0.26234304093051947,0.373467859188439,0.17411111600652068,6.3183700971323
28,영등포구,여의도동,수정,20240226,244000,150.65,12.0,1976.0,영등포구 여의도동 0032-0000,2024,202402,3.5,58.7,33412,0.09733030049084161,0.10633903986591643,0.22650544714473841,0.3844726445588411,0.1853525679396624,8.13031155597246
29,서초구,서초동,아크로비스타,20240226,266000,138.96,24.0,2004.0,서초구 서초동 1685-0003,2024,202402,3.5,58.7,106161,0.09549646291952789,0.13080133005529337,0.25029907404790835,0.3829560761484914,0.14044705682877892,8.125860962031119
30,노원구,상계동,상계주공9(고층),20240226,40000,49.94,12.0,1988.0,노원구 상계동 0670-0000,2024,202402,3.5,58.7,197373,0.07556758016547349,0.11627223581746236,0.21732455807025278,0.40607377908832515,0.1847618468584862,6.329893617879786
31,금천구,가산동,가산지웰에스테이트,20240226,8500,12.13,12.0,2013.0,금천구 가산동 0140-0009,2024,202402,3.5,58.7,24828,0.02895923956822942,0.08615273078782021,0.49931528918962464,0.2783148058643467,0.10725793458997905,7.518663295590256
32,서대문구,홍은동,풍림2,20240226,54500,58.5,10.0,1990.0,서대문구 홍은동 0453-0002,2024,202402,3.5,58.7,50678,0.07372035202652039,0.11529657839693752,0.2221279450649197,0.39683886499072574,0.19199652709262402,6.6479324423494015
33,구로구,구로동,주공1,20240226,81000,83.81,3.0,1986.0,구로구 구로동 0685-0222,2024,202402,3.5,58.7,114035,0.062121278554829656,0.09435699565922744,0.28011575393519533,0.3794536765028281,0.1839522953479195,7.212296533394964
34,마포구,도화동,우성,20240226,100000,68.94,12.0,1991.0,마포구 도화동 0082-0000,2024,202402,3.5,58.7,21461,0.08303434136340339,0.09822468664088346,0.27151577279716693,0.3810633241694236,0.1661618750291226,7.625313276334186
35,강서구,화곡동,세교예지안6차,20240226,15500,25.97,6.0,2016.0,강서구 화곡동 0924-0015,2024,202402,3.5,58.7,217278,0.0664632406410221,0.10006995646130763,0.2852934949695781,0.3786945756128094,0.16947412991651248,7.3853944332712524
36,성북구,종암동,아이파크종암동2차,20240226,86500,84.73,20.0,2005.0,성북구 종암동 0131-0000,2024,202402,3.5,58.7,37609,0.08051264325028584,0.1336648142731793,0.2102422292536361,0.3952245473158021,0.1803557659070967,6.243843158944652
37,양천구,신정동,신정현대5,20240225,66500,59.08,5.0,1999.0,양천구 신정동 1273-0000,2024,202402,3.5,58.7,1538,0.09752925877763328,0.11313394018205461,0.2542262678803641,0.4070221066319896,0.12808842652795838,6.508188938883059
38,양천구,신정동,신정현대5,20240225,66500,59.08,5.0,1999.0,양천구 신정동 1273-0000,2024,202402,3.5,58.7,171868,0.09169246165662019,0.14080573463355597,0.18955244722694162,0.41871087113366073,0.15923266693043497,6.508188938883059
39,용산구,한남동,한남힐스테이트,20240225,255000,151.07,3.0,2003.0,용산구 한남동 0807-0000,2024,202402,3.5,58.7,17269,0.0747003300712259,0.08547107533730963,0.26793676530198623,0.39417453239909667,0.1777172968903816,7.12279496248059
40,노원구,월계동,성원(사슴4),20240225,46500,49.92,3.0,1995.0,노원구 월계동 0322-0001,2024,202402,3.5,58.7,74540,0.07257848135229407,0.11299973168768447,0.2045613093640998,0.3933324389589482,0.21651462302119667,6.329893617879786
41,관악구,신림동,관악산휴먼시아2단지,20240225,64000,84.98,2.0,2008.0,관악구 신림동 1735-0000,2024,202402,3.5,58.7,242441,0.041313144228905176,0.10749006974892861,0.3445374338498851,0.3389773181928799,0.16767378454964302,6.374571906375385
42,금천구,시흥동,우방,20240225,45200,59.91,10.0,2002.0,금천구 시흥동 1011-0000,2024,202402,3.5,58.7,100325,0.06312484425616746,0.09952653874906554,0.2103264390730127,0.41328681784201343,0.21372539247445801,7.518663295590256
43,강서구,방화동,한숲마을대림,20240225,55800,84.83,1.0,1999.0,강서구 방화동 0862-0000,2024,202402,3.5,58.7,68811,0.06968362616442139,0.08997108020519975,0.24318786240572002,0.3842699568382962,0.21288747438636266,7.3853944332712524
44,성북구,돈암동,한진(609-1),20240225,54800,59.58,20.0,1998.0,성북구 돈암동 0609-0001,2024,202402,3.5,58.7,38204,0.0859072348445189,0.13035284263427913,0.19833001779918333,0.4128101769448225,0.1725997277771961,6.243843158944652
45,노원구,상계동,상계주공14(고층),20240225,38000,41.3,13.0,1989.0,노원구 상계동 0626-0000,2024,202402,3.5,58.7,197373,0.07556758016547349,0.11627223581746236,0.21732455807025278,0.40607377908832515,0.1847618468584862,6.329893617879786
46,강동구,둔촌동,신동아파밀리에,20240225,110000,103.72,2.0,2002.0,강동구 둔촌동 0555-0000,2024,202402,3.5,58.7,24349,0.08534231385272496,0.10710912152449793,0.2407080372910592,0.39422563554971457,0.17261489178200337,6.780687750503237
47,성북구,길음동,길음동동부센트레빌(1278-0),20240225,76000,84.84,2.0,2003.0,성북구 길음동 1278-0000,2024,202402,3.5,58.7,54084,0.13247910657495748,0.1404481917017972,0.18057096368611789,0.4123770431181126,0.13412469491901485,6.243843158944652
48,구로구,구로동,종인아네스트,20240224,11000,16.04,18.0,2012.0,구로구 구로동 0110-0000,2024,202402,3.5,58.7,114035,0.062121278554829656,0.09435699565922744,0.28011575393519533,0.3794536765028281,0.1839522953479195,7.212296533394964
49,중랑구,상봉동,"엘지,쌍용아파트",20240224,53000,68.12,2.0,1996.0,중랑구 상봉동 0484-0000,2024,202402,3.5,58.7,43483,0.06669273049237633,0.09440470988662236,0.3098912218568176,0.37097256399052503,0.15803877377365866,6.258485261159547
50,관악구,봉천동,벽산블루밍,20240224,70000,59.99,15.0,2005.0,관악구 봉천동 1718-0000,2024,202402,3.5,58.7,221702,0.05440185474195091,0.11782031736294665,0.34555845233692073,0.32166150959395945,0.16055786596422225,6.374571906375385
51,금천구,가산동,비즈트위트바이올렛5차,20240224,9850,12.19,15.0,2014.0,금천구 가산동 0140-0036,2024,202402,3.5,58.7,24828,0.02895923956822942,0.08615273078782021,0.49931528918962464,0.2783148058643467,0.10725793458997905,7.518663295590256
52,송파구,잠실동,리센츠,20240224,116000,27.68,17.0,2008.0,송파구 잠실동 0022-0000,2024,202402,3.5,58.7,105918,0.10435431182612964,0.1360297588700693,0.2145244434373761,0.3977794142638645,0.14730263033667554,7.869572645979376
53,서대문구,홍은동,홍은동벽산,20240224,67500,84.78,7.0,1997.0,서대문구 홍은동 0455-0000,2024,202402,3.5,58.7,50678,0.07372035202652039,0.11529657839693752,0.2221279450649197,0.39683886499072574,0.19199652709262402,6.6479324423494015
54,광진구,광장동,극동2,20240224,159000,84.55,11.0,1989.0,광진구 광장동 0218-0001,2024,202402,3.5,58.7,33965,0.12012365670543207,0.16740762549683497,0.16776093036949802,0.43067863977624027,0.1140291476519947,6.4299047834496745
55,중랑구,신내동,성원,20240224,61000,84.4,25.0,1994.0,중랑구 신내동 0783-0000,2024,202402,3.5,58.7,57327,0.0838173984335479,0.11333228670608962,0.20048144853210528,0.4059692640466098,0.19636471470685715,6.258485261159547
56,관악구,신림동,관악산휴먼시아2단지,20240224,67000,84.97,11.0,2008.0,관악구 신림동 1735-0000,2024,202402,3.5,58.7,242441,0.041313144228905176,0.10749006974892861,0.3445374338498851,0.3389773181928799,0.16767378454964302,6.374571906375385
57,서대문구,남가좌동,디엠씨엘가,20240224,20500,17.23,6.0,2017.0,서대문구 남가좌동 0387-0000,2024,202402,3.5,58.7,45707,0.12512306648872165,0.12035355634804297,0.21780033692869802,0.38322357625746606,0.15349946397707134,6.6479324423494015
58,성북구,돈암동,일신건영휴먼빌아파트,20240224,60000,59.52,8.0,2005.0,성북구 돈암동 0524-0000,2024,202402,3.5,58.7,38204,0.0859072348445189,0.13035284263427913,0.19833001779918333,0.4128101769448225,0.1725997277771961,6.243843158944652
59,동작구,흑석동,롯데캐슬에듀포레,20240224,165000,84.98,19.0,2018.0,동작구 흑석동 0340-0000,2024,202402,3.5,58.7,30013,0.1005564255489288,0.12018125478959117,0.23066671109186018,0.3878985772831773,0.16069703128644255,6.3183700971323
60,마포구,성산동,성산월드타운대림,20240224,55000,59.89,16.0,2004.0,마포구 성산동 0601-0000,2024,202402,3.5,58.7,47574,0.05740530541892631,0.11167864800100895,0.3104426787741203,0.35725396224828687,0.16321940555765754,7.625313276334186
61,송파구,잠실동,리센츠,20240224,241000,84.99,20.0,2008.0,송파구 잠실동 0022-0000,2024,202402,3.5,58.7,105918,0.10435431182612964,0.1360297588700693,0.2145244434373761,0.3977794142638645,0.14730263033667554,7.869572645979376
62,관악구,봉천동,관악드림(삼성),20240224,72900,59.83,3.0,2003.0,관악구 봉천동 1712-0000,2024,202402,3.5,58.7,221702,0.05440185474195091,0.11782031736294665,0.34555845233692073,0.32166150959395945,0.16055786596422225,6.374571906375385
63,영등포구,여의도동,롯데캐슬아이비,20240224,150000,113.59,7.0,2005.0,영등포구 여의도동 0043-0004,2024,202402,3.5,58.7,33412,0.09733030049084161,0.10633903986591643,0.22650544714473841,0.3844726445588411,0.1853525679396624,8.13031155597246
64,광진구,자양동,자양2현대,20240224,106000,84.66,19.0,1995.0,광진구 자양동 0761-0000,2024,202402,3.5,58.7,92572,0.06932981895173486,0.10706261072462515,0.26489651298448774,0.3891673508188221,0.1695329041178758,6.4299047834496745
65,노원구,하계동,학여울청구,20240224,79700,84.77,4.0,1999.0,노원구 하계동 0354-0000,2024,202402,3.5,58.7,47195,0.06856658544337324,0.16781438711727936,0.18468058056997563,0.41192922979129143,0.1670092170780803,6.329893617879786
66,강서구,등촌동,삼성한사랑1,20240224,62000,59.69,12.0,1997.0,강서구 등촌동 0632-0004,2024,202402,3.5,58.7,73652,0.06451963286808234,0.09247542497148753,0.3060880899364579,0.35747841199152774,0.17943844023244446,7.3853944332712524
67,영등포구,영등포동,영등포푸르지오,20240224,105000,79.78,16.0,2002.0,영등포구 영등포동 0647-0000,2024,202402,3.5,58.7,13729,0.08281739383786146,0.08835312113045378,0.25347803918712214,0.4017772598149902,0.17357418602957245,8.13031155597246
68,강동구,길동,대상,20240224,64000,84.98,13.0,1999.0,강동구 길동 0344-0005,2024,202402,3.5,58.7,44649,0.06161392192434321,0.09352953033662569,0.26390288696275394,0.39443212613944323,0.18649913771864993,6.780687750503237
69,구로구,구로동,(780-50),20240224,26000,50.34,4.0,1997.0,구로구 구로동 0780-0050,2024,202402,3.5,58.7,114035,0.062121278554829656,0.09435699565922744,0.28011575393519533,0.3794536765028281,0.1839522953479195,7.212296533394964
70,강남구,대치동,테헤란로대우아이빌(891-6),20240224,38000,33.11,14.0,2004.0,강남구 대치동 0891-0006,2024,202402,3.5,58.7,80548,0.10263445399016735,0.18747827382430352,0.16247454933704128,0.4265406962308189,0.12085961166012812,8.944714059811606
71,구로구,개봉동,현대,20240224,67000,59.94,17.0,2001.0,구로구 개봉동 0481-0000,2024,202402,3.5,58.7,82340,0.07256497449599222,0.0964780179742531,0.2163832888025261,0.40179742530969154,0.21277629341753704,7.212296533394964
