학교종류명,설립구분,학교명,영문학교명,남녀공학구분명,고등학교구분명,고등학교일반실업구분명,특수목적고등학교계열명,Longitude,Latitude,도로명주소,구주소,동
초등학교,공립,서울상경초등학교,Seoul Sanggyeong Elementary School,남여공학,,일반계,,127.0518274,37.6707294,서울특별시 노원구 수락산로 237 상경초등학교,서울특별시 노원구 상계동 621 상경초등학교,상계동
초등학교,공립,서울불암초등학교,Seoul Bulam Elementary School,남여공학,,일반계,,127.0805747,37.6512619,서울특별시 노원구 중계로 178 불암초등학교,서울특별시 노원구 중계동 366-2 불암초등학교,중계동
초등학교,공립,서울백운초등학교,Seoul Baegun Elementary School,남여공학,,일반계,,127.013653,37.6533602,서울특별시 도봉구 삼양로146길 17 서울백운초등학교,서울특별시 도봉구 쌍문동 422-2 서울백운초등학교,쌍문동
초등학교,공립,서울방학초등학교,Seoul Banghak Elementary School,남여공학,,일반계,,127.031806,37.6641091,서울특별시 도봉구 도당로9길 34 방학초등학교,서울특별시 도봉구 방학동 302 방학초등학교,방학동
초등학교,공립,서울동일초등학교,Seoul Dong-il Elementary School,남여공학,,일반계,,127.0545338,37.665314,서울특별시 노원구 한글비석로 566 동일초등학교,서울특별시 노원구 상계동 655 동일초등학교,상계동
초등학교,공립,서울도봉초등학교,Seoul Dobong Elementary School,남여공학,,일반계,,127.0383218,37.6795729,서울특별시 도봉구 도봉로173길 96 도봉초등학교,서울특별시 도봉구 도봉동 429-1 도봉초등학교,도봉동
초등학교,공립,서울덕암초등학교,Seoul Deokam Elementary School,남여공학,,일반계,,127.0813434,37.6665061,서울특별시 노원구 덕릉로112길 68 서울덕암초등학교,서울특별시 노원구 상계동 1274 서울덕암초등학교,상계동
초등학교,공립,서울당현초등학교,Seoul Danghyeon Elementary School,남여공학,,일반계,,127.058394,37.6489076,서울특별시 노원구 동일로213길 52 당현초등학교,서울특별시 노원구 상계동 742 당현초등학교,상계동
초등학교,공립,서울누원초등학교,Seoul Nuwon Elementary School,남여공학,,일반계,,127.0496031,37.6870928,서울특별시 도봉구 마들로 859-44 서울누원초등학교,서울특별시 도봉구 도봉동 21-5 서울누원초등학교,도봉동
초등학교,공립,서울녹천초등학교,Seoul Nokcheon Elementary School,남여공학,,일반계,,127.0633779,37.6287981,서울특별시 노원구 마들로3길 34 서울녹천초등학교,서울특별시 노원구 월계동 322-2 서울녹천초등학교,월계동
