,Gu,Dong,Name,Date,Price,Area,Floor,Construction Year,Address,Latitude,Longitude,Year,Month,Price_log,Nearest Station,Distance to NS,Price per Area,Living Price Index
26,영등포구,영등포동4가,영등포그랑그루,20240216,11000,12.1,12,2012.0,영등포구 영등포동4가 0103-0000,37.5184916,126.9032346,2024,202402,9.305650551780507,문래,0.3206214831539933,909.0909090909091,
27,중랑구,상봉동,포시티,20240216,12200,14.86,16,2014.0,중랑구 상봉동 0113-0001,37.59551760000001,127.085343,2024,202402,9.409191230721348,상봉역,0.1402462875713462,820.9959623149394,
28,도봉구,방학동,신동아아파트2,20240216,53000,84.82,14,1992.0,도봉구 방학동 0531-0000,37.6591075,127.0235176,2024,202402,10.87804719253426,솔밭공원,0.9821913224000874,624.8526290969112,
29,은평구,불광동,북한산래미안아파트(2단지),20240215,75000,59.99,8,2010.0,은평구 불광동 0637-0000,37.6111175,126.9373172,2024,202402,11.225243392518449,녹번,0.8437202093404413,1250.2083680613434,
30,중랑구,상봉동,포시티,20240215,11700,14.86,16,2014.0,중랑구 상봉동 0113-0001,37.59551760000001,127.085343,2024,202402,9.367344120785848,상봉역,0.1402462875713462,787.3485868102289,
31,종로구,구기동,마운틴뷰,20240215,58350,64.39,3,2019.0,종로구 구기동 0125-0005,37.6087555,126.9563931,2024,202402,10.974214637714702,역촌,1.814432392322444,906.1966143811151,
32,중랑구,상봉동,포시티,20240215,10500,14.86,17,2014.0,중랑구 상봉동 0113-0001,37.59551760000001,127.085343,2024,202402,9.259130536145614,상봉역,0.1402462875713462,706.5948855989233,
33,종로구,연건동,이화에수풀,20240215,17000,16.98,7,2014.0,종로구 연건동 0195-0010,37.5752871,127.0016115,2024,202402,9.740968623038354,종로5가,0.4742033614657914,1001.1778563015312,
34,구로구,항동,한양수자인에듀힐즈,20240215,80000,84.95,10,2019.0,구로구 항동 0241-0000,37.4810886,126.8236073,2024,202402,11.289781913656018,온수(성공회대입구),1.1595871967163107,941.7304296645085,
35,관악구,신림동,관악산휴먼시아2단지,20240215,54000,59.99,15,2008.0,관악구 신림동 1735-0000,37.4591086,126.920039,2024,202402,10.896739325546411,서울대벤처타운,1.8888673543798329,900.1500250041673,
36,종로구,숭인동,종로중흥S클래스,20240215,12300,17.81,9,2013.0,종로구 숭인동 0202-0003,37.5733975,127.021246,2024,202402,9.417354541360508,동묘앞,0.4768188800179859,690.623245367771,
37,송파구,가락동,삼환,20240215,116500,72.88,8,1984.0,송파구 가락동 0176-0000,37.4953563,127.1367731,2024,202402,11.665646551987892,거여,0.957801619613367,1598.518111964874,
38,양천구,목동,건영,20240215,67000,84.33,10,1994.0,양천구 목동 0928-0000,37.5418773,126.8727778,2024,202402,11.112447898373103,목동,1.9098164739883208,794.4978062374007,
39,양천구,목동,금강에스쁘아,20240215,83500,82.62,1,2002.0,양천구 목동 0753-0001,37.5372631,126.8716267,2024,202402,11.332601910838946,목동,1.4020719914220872,1010.6511740498668,
40,동대문구,장안동,청명에버아트3차,20240215,45500,52.96,13,2017.0,동대문구 장안동 0372-0008,37.5706646,127.0700598,2024,202402,10.72546760493904,장한평,0.9341913093658714,859.1389728096676,
41,중랑구,묵동,신안2,20240215,48000,59.85,1,2000.0,중랑구 묵동 0382-0000,37.6141117,127.0800981,2024,202402,10.778956289890028,신이문,1.385054933159506,802.0050125313282,
42,양천구,신정동,목동신시가지12,20240215,146000,71.64,13,1988.0,양천구 신정동 0326-0000,37.5130364,126.8611326,2024,202402,11.891361900690471,양천구청,0.2547769162620789,2037.967615857063,
43,서대문구,남가좌동,DMC파크뷰자이2단지,20240215,117000,84.99,22,2015.0,서대문구 남가좌동 0384-0000,37.5740272,126.9150414,2024,202402,11.669929213779891,가좌,0.572138552681125,1376.6325450052948,
44,동작구,흑석동,명수대현대,20240215,175000,112.29,12,1988.0,동작구 흑석동 0010-0000,37.5078681,126.9669348,2024,202402,12.072541252905651,동작(현충원),1.2788313088036112,1558.464689642889,
45,성북구,돈암동,돈암현대아파트,20240215,54400,56.7,6,1991.0,성북구 돈암동 0001-0000,37.60321649999999,127.0261753,2024,202402,10.904119432844034,길음,0.6999751981797224,959.4356261022928,
46,중랑구,상봉동,포시티,20240215,11100,14.86,13,2014.0,중랑구 상봉동 0113-0001,37.59551760000001,127.085343,2024,202402,9.314700387300425,상봉역,0.1402462875713462,746.971736204576,
47,송파구,방이동,올림픽선수기자촌2단지,20240215,194500,83.06,12,1988.0,송파구 방이동 0089-0000,37.5175612,127.1363717,2024,202402,12.178187442040638,둔촌오륜,0.5588820642036512,2341.6807127377797,
48,양천구,신월동,목동센트럴아이파크위브4단지,20240215,102000,84.97,6,2020.0,양천구 신월동 1078-0000,37.5178709,126.8442226,2024,202402,11.532728092266408,신정네거리,0.7842004322029349,1200.4236789455101,
49,중구,충무로5가,충무로엘크루메크로시티2차,20240214,22500,22.75,18,2016.0,중구 충무로5가 0036-0002,37.5634739,127.0012132,2024,202402,10.021270588192513,동대입구,0.5123603808728275,989.010989010989,
50,동작구,사당동,극동(105),20240214,89000,59.25,9,1993.0,동작구 사당동 0105-0000,37.4896386,126.9759403,2024,202402,11.396391648714276,남성,0.6068894425650095,1502.1097046413502,
51,성동구,마장동,장원,20240214,63000,77.6,7,2002.0,성동구 마장동 0767-0001,37.5685251,127.0451734,2024,202402,11.05089000537367,신답,0.2424304018606916,811.8556701030928,
52,영등포구,대림동,쌍용플래티넘S,20240214,10700,18.24,10,2013.0,영등포구 대림동 0717-0000,37.4952953,126.8980757,2024,202402,9.277999020449997,대림(구로구청),0.3556381572372584,586.6228070175439,
53,노원구,월계동,동신,20240214,66904,71.94,10,1983.0,노원구 월계동 0436-0000,37.6175521,127.0612663,2024,202402,11.11101403506136,광운대,0.6571646859608804,929.9972199054769,
54,성북구,하월곡동,꿈의숲푸르지오,20240214,72500,59.65,11,2010.0,성북구 하월곡동 0228-0000,37.610769,127.0389931,2024,202402,11.191341840842766,상월곡(한국과학기술연구원),0.93421626262392,1215.4233025984913,
55,동대문구,용두동,이편한세상청계센트럴포레,20240214,116000,74.98,4,2021.0,동대문구 용두동 0795-0000,37.5757257,127.034286,2024,202402,11.661345470088502,용두(동대문구청),0.3706870455825362,1547.0792211256335,
56,강남구,논현동,동양파라곤,20240214,350000,157.41,1,2004.0,강남구 논현동 0245-0000,37.5147466,127.0381369,2024,202402,12.765688433465597,강남구청,0.4224632654662575,2223.4927895305254,
57,동대문구,이문동,쌍용,20240214,64400,59.99,17,2000.0,동대문구 이문동 0064-0000,37.5997832,127.0685137,2024,202402,11.072868912092446,외대앞,0.2065865875680279,1073.512252042007,
58,성북구,장위동,석계역한일노벨리아시티,20240214,13500,14.71,14,2019.0,성북구 장위동 0008-0002,37.61007439999999,127.0509154,2024,202402,9.51044496442652,상월곡(한국과학기술연구원),0.5197838374823469,917.7430319510537,
59,구로구,구로동,구로두산,20240213,44500,44.64,8,1998.0,구로구 구로동 1265-0000,37.4893405,126.8892594,2024,202402,10.703244468154333,대림(구로구청),0.6677365338298091,996.8637992831541,
60,종로구,창신동,두산,20240213,60000,59.95,2,1999.0,종로구 창신동 0232-0000,37.5742172,127.0142876,2024,202402,11.002099841204238,창신,0.1344154212539348,1000.834028356964,
61,노원구,중계동,중계무지개,20240213,50800,49.54,6,1991.0,노원구 중계동 0512-0000,37.6427206,127.0665677,2024,202402,10.835651633566574,하계,0.7696204769319747,1025.433992733145,
62,강남구,청담동,청담자이,20240213,284000,82.37,5,2011.0,강남구 청담동 0134-0038,37.5247638,127.0561166,2024,202402,12.556729517143344,선정릉,1.199661859750636,3447.8572295738736,
63,도봉구,방학동,신동아아파트1,20240213,48000,84.87,12,1986.0,도봉구 방학동 0271-0001,37.660882,127.0266718,2024,202402,10.778956289890028,솔밭공원,1.313166332836465,565.5708731000353,
64,동작구,사당동,사당롯데캐슬골든포레,20240213,108500,84.98,7,2021.0,동작구 사당동 1160-0000,37.4917216,126.9622752,2024,202402,11.594505451962652,봉천,0.6219471889303061,1276.7710049423392,
65,성북구,길음동,래미안길음센터피스,20240213,70000,59.99,6,2019.0,성북구 길음동 0498-0000,37.6085948,127.0220461,2024,202402,11.156250521031495,길음,0.0,1166.8611435239206,
66,동대문구,용두동,이편한세상청계센트럴포레,20240213,129500,84.95,4,2021.0,동대문구 용두동 0795-0000,37.5757257,127.034286,2024,202402,11.771436160121729,용두(동대문구청),0.3706870455825362,1524.426133019423,
